Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,3.727,4.091,Hai phương pháp gần nhau.
cross-doc,Faithfulness,4.364,4.545,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,3.727,4.091,Hai phương pháp gần nhau.
cross-doc,Latency (s),2.085,2.029,GraphRAG không đắt hơn trong sample này.
cross-doc,Token usage,744.636,1163.636,Flat RAG thường rẻ/nhanh hơn.
factoid,Comprehensiveness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
factoid,Latency (s),1.525,1.292,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,787.0,1167.5,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Comprehensiveness,3.5,3.417,Hai phương pháp gần nhau.
multi-hop,Faithfulness,3.75,3.75,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,3.5,3.417,Hai phương pháp gần nhau.
multi-hop,Latency (s),3.067,3.149,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Token usage,787.583,1606.583,Flat RAG thường rẻ/nhanh hơn.
