left_article_id,right_article_id,left_title,right_title,minhash_est,jaccard_true,decision
26c22c308fb6716a3eda,cc60dc5511e323ac4d0a,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk,1.0,1.0,MERGE_NEAR_DUP
d2f10b6eb420a221b002,e41e603c9b2b467c7a45,CereCore® expands healthcare technology services into the UK,CereCore expands healthcare technology services into the UK,1.0,1.0,MERGE_NEAR_DUP
919a7d918c23097ae974,9cec56f34793ad5c585e,411 is going out of service for millions of Americans,411 is going out of service for millions of Americans,1.0,1.0,MERGE_NEAR_DUP
42f24c797073748f73f8,e5ccd70f01654458127e,Sensormatic Solutions by Johnson Controls shares 2022 U.S. Super Saturday shopper traffic insights,Sensormatic Solutions by Johnson Controls shares 2022 U.S. Super Saturday shopper traffic insights,0.992,0.979,MERGE_NEAR_DUP
8c5930949a3d9f3c3a38,8e58296629f84469cd8d,Samsung Showcases Groundbreaking Logic Innovations at System LSI Tech Day 2023,Samsung Showcases Groundbreaking Logic Innovations at System LSI Tech Day 2023,0.875,0.878,MERGE_NEAR_DUP
c86b8357f117fa7f9444,c967562f9d4628db990c,Stock market today: Wall Street is mixed; Big Tech climbs,Stock market today: Wall Street is mixed; Big Tech climbs,0.883,0.878,MERGE_NEAR_DUP
99e4dff966ca14987a42,e1dd933ce175e571f1fc,Knicks rally to beat Pacers 109-106 for 7th straight victory,Knicks rally to beat Pacers 109-106 for 7th straight victory,0.836,0.848,MERGE_NEAR_DUP
e6090305820383267481,20900bb77008b0464c81,411 phone number is going out of service for millions of Americans,411 is going out of service for millions of Americans,0.828,0.839,MERGE_NEAR_DUP
05a134c06ab008a9d52c,f88a9282762685bb8f9b,Fidelity National Information Services (FIS) Stock Moves -0.9%: What You Should Know,Fidelity National Information Services (FIS) Stock Moves -0.9%: What You Should Know,0.828,0.836,MERGE_NEAR_DUP
201da7854b95e5ee4a3a,275fc1333cf98e260eec,L T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways,0.812,0.814,MERGE_NEAR_DUP
ef887c1d851c608d9f68,0366643faf4dd2a89fa4,US announces criminal cases involving flow of technology information to Russia China and Iran,US Announces Criminal Cases Involving Flow of Technology Information to Russia China and Iran,0.836,0.809,MERGE_NEAR_DUP
39768e8c3b99dc1c6c4d,2b70f26534cdf4d6db74,Information Services Group Inc. (NASDAQ:III) is a favorite amongst institutional investors who own 57%,Information Services Group Inc. (NASDAQ:III) is a favorite amongst institutional investors who own 57%,0.766,0.807,MERGE_NEAR_DUP
91f9239890e39e4693bd,f7f78028c8d9e7fb131e,Why Operators Need a Full-Service Technology Partner,Restaurant Tech: Why Operators Need a Full-Service Technology Partner,0.812,0.792,REJECT_BELOW_THRESHOLD
afd2ee3f8ae5a1336b9f,ef07f6b1f6d9c07e2c53,Esri Signs Agreement with Malta Providing Access to GIS Technology Training,Esri Signs Agreement with Malta Providing Access to GIS Technology Training,0.844,0.773,REJECT_BELOW_THRESHOLD
1b8d3608ead7fc2c48c9,0366643faf4dd2a89fa4,US announces criminal cases involving flow of technology information to Russia China and Iran,US Announces Criminal Cases Involving Flow of Technology Information to Russia China and Iran,0.805,0.755,REJECT_BELOW_THRESHOLD
ef887c1d851c608d9f68,1b8d3608ead7fc2c48c9,US announces criminal cases involving flow of technology information to Russia China and Iran,US announces criminal cases involving flow of technology information to Russia China and Iran,0.812,0.74,REJECT_BELOW_THRESHOLD
651af17bd74fb2ccba83,55638a71fae384f0bf67,INFORMATION SERVICES GROUP INC,INFORMATION SERVICES GROUP INC,0.758,0.737,REJECT_BELOW_THRESHOLD
75db116034e9fd215d90,765d876397ac2d356e44,Spam calls/texts have increased so can they be stopped?,Spam calls/texts have increased so can they be stopped?,0.789,0.732,REJECT_BELOW_THRESHOLD
12ebdda3acda65d9fde8,22199b41d3b049e8847d,The Institution of Engineering and Technology (IET) successfully concludes IET Future Tech Congress 2022,The Institution of Engineering and Technology (IET) successfully concludes IET Future Tech Congress 2022,0.766,0.724,REJECT_BELOW_THRESHOLD
fe34ec9a3ba086639dfc,5240d4cf74965bb413d5,Alight launches new behavioral health navigation services aimed at supporting individuals and families with complex or s,Alight launches new behavioral health navigation services aimed at supporting individuals and families with complex or s,0.617,0.724,REJECT_BELOW_THRESHOLD
9e2741bfc879147586b8,7c889169918db54718d1,CBS Essentials: Tech,CBS Essentials: Tech,0.703,0.721,REJECT_BELOW_THRESHOLD
566e41efa663f190cf11,275fc1333cf98e260eec,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways,0.703,0.719,REJECT_BELOW_THRESHOLD
f5b9b2db5e2a86cba4aa,cee0b66946783c1034f8,Dragos Launches OT Cyber Industry’s Only Global Partner Program to Span Technology Services Threat Intelligence and Trai,Dragos Launches OT Cyber Industry''s Only Global Partner Program to Span Technology Services Threat Intelligence and Tra,0.672,0.712,REJECT_BELOW_THRESHOLD
411f0647ee35d5606ccf,3f6899586d375c51ec49,What are some of the latest trends and innovations in VPN technology and services?,What are some of the latest trends and innovations in VPN technology and services?,0.719,0.709,REJECT_BELOW_THRESHOLD
a6c159434dd6874000e4,0a0ad3f14384e29b4550,UKG Celebrates 2022 Technology and Service Partners of the Year,UKG Celebrates 2022 Technology and Service Partners of the Year,0.688,0.686,REJECT_BELOW_THRESHOLD
998148e82ea10ebc37df,3e96d9e861411783c0b2,Best VoIP Services (July 2023),Best VoIP Services (October 2023),0.664,0.673,REJECT_BELOW_THRESHOLD
6ec376fffd2c56fef630,b432186d8fe246dc1fab,Exclusive: Amazon has drawn thousands to try its AI service competing with Microsoft Google,Amazon has drawn thousands to try its AI service competing with Microsoft Google,0.695,0.673,REJECT_BELOW_THRESHOLD
a9df48fa83d9fa05d10e,322fbbb75965d1ba1636,Yonyou Auto Information Technology (Shanghai) Co. Ltd.,Information Services Group Inc.,0.648,0.672,REJECT_BELOW_THRESHOLD
