source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence,source_name,target_name,source_name_norm,target_name_norm,source_id,target_id
onsemi,Company,DEVELOPED,Sustainable Energy Applications,Technology,1a05beb7aa3071be6fd7::c0000,2023-05-16,onsemi and Sineng Electric Spearhead the Development of Sustainable Energy Applications.,0.9,onsemi,Sustainable Energy Applications,onsemi,sustainable energy applications,c2d0ae15a3749683eeed733f,0e42b0efd7c05f1cd92d7108
Sineng Electric,Company,PARTNERED_WITH,onsemi,Company,1a05beb7aa3071be6fd7::c0000,2023-05-16,Sineng Electric will integrate onsemi EliteSiC silic.,0.9,Sineng Electric,onsemi,sineng electric,onsemi,b1d4bcc3cf0bdd464cb971b3,c2d0ae15a3749683eeed733f
GreenPages,Company,ACQUIRED,Zanaris,Company,4bd7afdba71243b0dbcd::c0000,2023-05-02,GreenPages acquired Toronto-based Zanaris an IT automation cloud and DevOps services firm.,0.9,GreenPages,Zanaris,greenpages,zanaris,0430a89df77e6234ef375307,d00f157aa6483414b0dba69f
Press Gazette,Company,WORKED_AT,Richard Jamieson,Person,5f54d2695696a7b61748::c0000,2022-12-27,Contact Richard Jamieson to enquire about working with Press Gazette.,0.8,Press Gazette,Richard Jamieson,press gazette,richard jamieson,604e7230bf2cbe0427252dea,668bfe445932431c1a2f363a
Uber,Company,PARTNERED_WITH,HP,Company,f9038f2ec250a401856d::c0000,2023-10-04,Uber HP and more in the latest Market Talks covering Technology Media and Telecom.,0.7,Uber,HP,uber,hp,6da57d63d94fb2af3160b2de,b3a691f72bfddf2ee7d1ba14
Aeris Communications,Company,ACQUIRED,IoT Business from Ericsson,Technology,4f1346392056a403277d::c0000,2022-12-07,Aeris to Acquire IoT Business from Ericsson.,0.9,Aeris Communications,IoT Business from Ericsson,aeris communications,iot business from ericsson,0ecbd5177fafb6f25a33707e,a1f1d537338e100dc6354636
Sojern,Company,ACQUIRED,VenueLytics,Company,ea275b79c4b3b46d5941::c0000,2023-07-11,Sojern has acquired VenueLytics a platform that provides guest management and communications software for independent hotels.,1.0,Sojern,VenueLytics,sojern,venuelytics,35e37b7b526c1fa5530c8c36,5d1f8692e1fe8b42ec180071
Samsung Electronics Co. Ltd.,Company,DEVELOPED,analog and logic semiconductor technologies,Technology,8c5930949a3d9f3c3a38::c0000,2023-10-05,Samsung Electronics Co. Ltd. a world leader in advanced semiconductor technology today unveiled its latest innovations in analog and logic semiconductor technologies.,1.0,Samsung Electronics Co. Ltd.,analog and logic semiconductor technologies,samsung electronics co. ltd.,analog and logic semiconductor technologies,43c9626ecf3e924d3289896d,e9ba07eac1d4661bebcf9ed4
IAS,Company,PARTNERED_WITH,Amazon Publisher Services,Company,37086f833cf0b2a400a7::c0000,2023-03-29,IAS provides verification solution to Amazon Publisher Services Connections Marketplace.,1.0,IAS,Amazon Publisher Services,ias,amazon publisher services,36f5716915bc9a820d632fe5,bb7fd192e75fb8f0c9a228b2
Intelligent Technical Solutions,Company,ACQUIRED,Granite Computer Solutions,Company,f982dd2920614d44fec3::c0000,2023-03-28,"Intelligent Technical Solutions ('""ITS'"") a portfolio company of Tower Arch Capital is pleased to announce that it has acquired Granite Computer Solutions.",1.0,Intelligent Technical Solutions,Granite Computer Solutions,intelligent technical solutions,granite computer solutions,23d7ceb58c062d83135817ba,71006530fc72a47a51a3f8e4
SIOS Technology Corp,Company,PARTNERED_WITH,ACP IT Solutions GmbH,Company,30eabd8710efff4abc2e::c0000,2023-08-14,SIOS Technology Corp. announced it has partnered with ACP IT Solutions GmbH.,1.0,SIOS Technology Corp,ACP IT Solutions GmbH,sios technology corp,acp it solutions gmbh,5fc8e1ac87fa4f5109b42647,24d0259e50b46777e57861a3
Iridium Communications Inc.,Company,PARTNERED_WITH,Smithsonian Institution,Company,f72955d8ffe5ac53791f::c0000,2022-12-14,Iridium Communications Inc. announced it has created a program in support of the Smithsonian Institution's Movement of Life Initiative.,1.0,Iridium Communications Inc.,Smithsonian Institution,iridium communications inc.,smithsonian institution,b719c247da976b81f33e935e,95f13d2667dea00f7204d8b2
Crexendo,Company,PARTNERED_WITH,Jenne Inc.,Company,391d8c6c09f3574ace59::c0000,2023-04-19,Crexendo announced that Jenne Cloud Services Brokerage is a new Technology Services Brokerage for its VIP Business Communications Platform.,1.0,Crexendo,Jenne Inc.,crexendo,jenne inc.,ce493f3efd776c3a90d1c029,6a15e0e4dd7148bee61fc8f2
AGC Biologics,Company,PARTNERED_WITH,Gore,Company,43bdd40313e396c6a385::c0000,2022-12-12,AGC Biologics and Gore Collaborate on New Protein A-based Purification Technology.,1.0,AGC Biologics,Gore,agc biologics,gore,c6cec60aaa735d5acb8599bc,d1f928688b9c32e1c2f69516
Kyndryl,Company,DEVELOPED,Kyndryl Bridge,Technology,94a62a94ab16d915b043::c0000,2023-07-21,Kyndryl Bridge provides new way to manage technology services.,1.0,Kyndryl,Kyndryl Bridge,kyndryl,kyndryl bridge,713c5cdea0d9408822fe01c7,4c88e9edec22d979cf031cdd
Ann Lewis,Person,WORKED_AT,GSA’s Technology Transformation Services,Technology,bc6b456aa5e8126cdfe6::c0000,2022-12-05,Ann Lewis as director of Technology Transformation Services at the General ...,1.0,Ann Lewis,GSA’s Technology Transformation Services,ann lewis,gsa s technology transformation services,6ffdac611f8523c6b41c1e7e,58133462171d94ad3ebf138e
LeanTaaS,Company,ACQUIRED,Hospital IQ,Company,99f8ce77e2f393b9bdc5::c0000,2023-01-10,LeanTaaS Acquires Hospital IQ to Create AI Innovator for Hospital Operations Optimization.,1.0,LeanTaaS,Hospital IQ,leantaas,hospital iq,0d38fd81ca44fb425b0da5cc,db47280f083160ab7a469f8a
Synechron,Company,ACQUIRED,Attra,Company,ad39674c1e91442967c9::c0000,2023-01-10,Synechron Completes Integration of Payments Services and Solutions Provider Attra.,1.0,Synechron,Attra,synechron,attra,d3375cc1a631efa9976e8d53,850e0a34c0c89c73e5ebfece
Citi,Company,DEVELOPED,Citi Token Services,Technology,3ac1a0d4fdc98952e374::c0000,2023-09-26,Citi has launched a token service using blockchain technology.,1.0,Citi,Citi Token Services,citi,citi token services,adc0f89fca852dd3fb0443bb,f5a771e89e84463402aaeff5
ATS Corporation,Company,ACQUIRED,Odyssey,Company,ef0b07436a0a914a91f5::c0000,2023-07-19,ATS Corporation Acquires Life Science Digitalization Solutions Provider Odyssey.,1.0,ATS Corporation,Odyssey,ats corporation,odyssey,21c966eca76a385293e890d0,acd842e188757ff92dc0cde5
Prolucent,Company,PARTNERED_WITH,UKG,Company,67de1c052ef8ee466663::c0000,2023-09-06,Prolucent and UKG Announce Technology Integration Partnership.,1.0,Prolucent,UKG,prolucent,ukg,5dc2bde9d23abe32e0c0dda1,e23c5421d4f8b156c0c6101c
Janet Zelenka,Person,WORKED_AT,Stericycle,Company,865c9af63776d20d05bf::c0000,2023-05-30,Stericycle Chief Financial Officer and Chief Information Officer Janet Zelenka Wins 2023 Bronze Stevie® Award for Technology Executive of the Year.,1.0,Janet Zelenka,Stericycle,janet zelenka,stericycle,9f88facf8a4bd4a9eb6822c8,a1db3524afc02cc88b55fef8
Amazon Web Services (AWS),Company,USES,Artificial Intelligence (AI)/machine learning (ML) technology,Technology,4c8e9044ab0a5a6808a6::c0000,2022-12-29,Through their Artificial Intelligence (AI)/machine learning (ML) technology they help businesses like ADP.,1.0,Amazon Web Services (AWS),Artificial Intelligence (AI)/machine learning (ML) technology,amazon web services aws,artificial intelligence ai machine learning ml technology,b2d4ccacccbb87fe51c0d279,91ef2c3f1a65e74e507f8528
NaaS Technology Inc.,Company,WORKED_AT,Alex Wu,Person,6f26357f3b491431d308::c0000,2022-12-31,NaaS Technology Inc. Announces Appointment of Alex Wu as Chief Financial Officer President and Director.,1.0,NaaS Technology Inc.,Alex Wu,naas technology inc.,alex wu,9658d8aa955dccac210c0469,cd883e027f0a1863d910d9bf
Freshworks Inc.,Company,DEVELOPED,AI-Powered Customer Service Suite,Technology,99960131a7d0ad05e9a8::c0000,2022-12-13,Freshworks Inc. (NASDAQ: FRSH) today announced the launch of its AI-powered Customer Service Suite.,1.0,Freshworks Inc.,AI-Powered Customer Service Suite,freshworks inc.,ai-powered customer service suite,97f3bddefb8ba5769f79e712,bf0156f8822118403de2c29f
Fidelity National Information Services Inc.,Company,ACQUIRED,Worldpay,Company,e932445090da75b8ccf6::c0000,2022-12-15,the company sought to widen its reach with the acquisition of Cincinnati-based Worldpay and its technology services for merchants.,1.0,Fidelity National Information Services,Worldpay,fidelity national information services,worldpay,3f052c4690533ff0ac061e7c,6c9d7e54e74efb990288221c
Dr. DeAngela Burns-Wallace,Person,WORKED_AT,Office of Information Technology Services,Company,c5db2bd7139995b91931::c0000,2022-12-05,Dr. Burns-Wallace also has led the Office of Information Technology Services as Chief Information Technology Officer (CITO).,1.0,Dr. DeAngela Burns-Wallace,Office of Information Technology Services,dr. deangela burns-wallace,office of information technology services,bf06bdd462ec796408bcc48f,cbbdd98638e112fbd0ee8be7
NEC Ibérica,Company,PARTNERED_WITH,NEC Laboratories Europe,Company,7c5e88e7b3e60a535fa2::c0000,2022-12-06,NEC Ibérica and NEC Laboratories Europe advance data space and 5G technology research.,1.0,NEC Ibérica,NEC Laboratories Europe,nec ibérica,nec laboratories europe,45b1731f9d3753b3a85a3594,d073537e883627bf7ad00edf
